Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Weekday
2022-04-01,1508,"5,183",2.03,3,543,208,25,4,581,Y
2022-04-02,1642,"10,708",4.39,11,518,306,2,8,783,N
2022-04-03,1404,"4,216",1.67,2,650,208,0,0,466,N
2022-04-04,1489,"4,569",1.81,5,697,186,20,14,560,Y
2022-04-05,1394,"4,240",1.66,9,861,162,4,6,419,Y
2022-04-06,1546,"7,820",3.29,14,651,180,5,34,612,Y
2022-04-07,1345,"3,837",1.49,5,521,167,0,0,374,Y
2022-04-08,1384,"3,733",1.47,7,810,155,9,7,419,Y
2022-04-09,1661,"13,183",5.28,20,539,177,29,39,744,N
2022-04-10,1556,"7,538",3,7,408,252,3,9,647,N
2022-04-11,1409,"4,532",1.75,8,507,176,0,0,435,Y
2022-04-12,1390,"4,206",1.66,2,798,187,0,0,424,Y
2022-04-13,1433,"5,214",2.06,7,668,174,3,7,467,Y
2022-04-14,1454,"4,933",1.89,5,826,208,0,0,509,Y
2022-04-15,1486,"5,481",2.17,10,400,263,0,0,576,Y
2022-04-16,1663,"13,119",5.17,26,420,183,40,39,762,N
2022-04-17,1412,"5,969",2.56,20,601,134,13,22,440,N
2022-04-18,1692,"14,310",5.72,81,404,169,48,40,788,Y
2022-04-19,1438,"5,334",2.11,11,754,207,16,1,510,Y
2022-04-20,1407,"4,608",1.82,14,593,195,0,0,458,Y
2022-04-21,1403,"5,062",2,12,712,189,0,0,452,Y
2022-04-22,1412,"3,948",1.56,6,552,158,18,6,446,Y
2022-04-23,1532,"8,435",3.33,10,699,247,0,0,619,N
2022-04-24,1442,"5,139",2.03,8,391,217,0,0,508,N
2022-04-25,1429,"5,353",2.07,6,716,207,0,0,492,Y
2022-04-26,1503,"5,363",2.12,8,672,215,16,3,585,Y
2022-04-27,1489,"6,643",2.59,19,639,207,9,11,549,Y
2022-04-28,1391,"3,588",1.42,3,536,155,10,9,423,Y
2022-04-29,1400,"2,971",1.17,1,544,186,7,2,446,Y
2022-04-30,2055,"23,427",9.16,35,657,326,47,46,"1,268",N